date,product,demand,price,stock,temperature,rainfall
2022-01-01,Tomato,167.20000000000002,41.86171947440931,114,34.6398788362281,11.973169683940732
2022-01-01,Potato,167.20000000000002,27.833310114143647,174,29.18497783931734,6.674172222780436
2022-01-01,Onion,168.3,38.32290311184182,249,21.128231580542007,14.439975445336495
2022-01-01,Apple,95.7,10.031150633640573,287,23.668090197068675,6.0848448591907545
2022-01-01,Banana,78.10000000000001,10.282652208788697,188,25.824582803960837,12.23705789444759
2022-01-02,Tomato,70.4,28.24279936868144,274,32.36772018666174,7.649239825343255
2022-01-02,Potato,124.30000000000001,28.670515729919195,150,33.606150771755594,9.009985039390859
2022-01-02,Onion,73.7,47.95542149013333,159,31.265764356910786,7.708330050798322
2022-01-02,Apple,152.9,13.906884560255355,183,24.820509320520234,13.665270376509165
2022-01-02,Banana,62.7,11.375540844608736,180,25.17559963200034,13.25044568707964
2022-01-03,Tomato,56.1,27.00623497964979,153,30.934205586865595,3.697089110510541
2022-01-03,Potato,214.50000000000003,41.00531293444458,261,27.90300472003629,18.533177315875882
2022-01-03,Onion,158.4,46.87496940092467,299,31.40887948810799,10.416685200516474
2022-01-03,Apple,97.9,43.78135394712606,181,30.793842647781595,11.735023313276965
2022-01-03,Banana,190.3,21.039967280901735,256,36.043939615080795,1.4910128735954165
2022-01-04,Tomato,132.0,26.936059228254784,228,23.974313630683447,0.11044234247204798
2022-01-04,Potato,206.8,17.953696163552205,235,34.58014336081975,15.425406933718914
2022-01-04,Onion,59.400000000000006,47.05203514053396,140,38.29919351087561,17.000771555795986
2022-01-04,Apple,67.10000000000001,23.235920994105967,147,27.416365043965328,13.376825053272146
2022-01-04,Banana,94.60000000000001,39.18424713352256,203,25.494435859801285,11.224868516954023
2022-01-05,Tomato,165.0,48.86848381556415,230,35.21570097233795,11.225543951389925
2022-01-05,Potato,210.10000000000002,29.75182385457563,236,34.21325779371575,2.2178164162366265
2022-01-05,Onion,190.3,14.315657079732178,162,37.91527191347039,9.507404463642235
2022-01-05,Apple,159.5,37.8206434570451,250,32.08834758555635,10.796821826033462
2022-01-05,Banana,85.80000000000001,19.1519266196649,259,31.97730932977072,13.89569866079409
2022-01-06,Tomato,84.7,47.18790609370292,144,25.91267371675428,2.109885196605412
2022-01-06,Potato,84.7,42.14688307596458,143,28.330198957407326,17.665605178377366
2022-01-06,Onion,194.70000000000002,42.2976062065625,191,27.1259567615395,18.13656883091508
2022-01-06,Apple,195.8,19.117406501677667,289,20.010407539906318,7.051377126683381
2022-01-06,Banana,57.2,10.278085221247629,299,30.68178838750884,9.696599427179663
2022-01-07,Tomato,110.00000000000001,20.776493351940857,251,38.858194078250385,6.464058640415105
2022-01-07,Potato,159.5,32.32408008069365,279,27.27259204758588,19.435641654419214
2022-01-07,Onion,111.10000000000001,19.87504251354405,138,29.94497011784771,6.017566196335393
2022-01-07,Apple,178.20000000000002,49.90961940195768,286,32.19128667959794,10.05358046457723
2022-01-07,Banana,113.30000000000001,11.322029316021936,228,24.79123781333945,2.897897441824462
2022-01-08,Tomato,128.70000000000002,13.23413305330861,283,24.752750879847994,14.564326972237192
2022-01-08,Potato,80.30000000000001,28.812025377841536,197,32.670594215217896,10.71549368149517
2022-01-08,Onion,212.3,43.41209982356952,223,30.163975534814373,13.916256135817637
2022-01-08,Apple,57.2,33.63571772752967,286,24.404820951310967,14.222990648760357
2022-01-08,Banana,215.60000000000002,23.946639491669174,298,23.487328580099827,13.81875476204932
2022-01-09,Tomato,194.70000000000002,30.710054021099204,203,22.750418882919867,6.82132702100517
2022-01-09,Potato,100.10000000000001,20.317665108606224,243,36.34444400402432,11.104016231989247
2022-01-09,Onion,119.9,20.43316699321636,228,21.862055356117985,17.944315159066534
2022-01-09,Apple,94.60000000000001,45.305453727573585,108,25.577427051843635,14.007156599455426
2022-01-09,Banana,198.00000000000003,44.252971675123696,153,35.597510917152476,12.840632923085755
2022-01-10,Tomato,136.4,47.4253997688379,263,37.97108377054158,12.128581193191799
2022-01-10,Potato,177.10000000000002,14.058861714641285,198,39.473276735106346,5.678419494749313
2022-01-10,Onion,174.9,31.949351574663446,153,28.968482859724947,19.889149252216413
2022-01-10,Apple,128.70000000000002,19.489963499872005,120,23.576454184426577,7.329375691657198
2022-01-10,Banana,203.50000000000003,43.96893641976712,244,26.161215837047784,10.850804611097987
2022-01-11,Tomato,180.4,35.453304727435814,121,24.87979286758167,19.460211095048912
2022-01-11,Potato,173.8,29.469686118378206,107,32.62277251994526,15.896226070832968
2022-01-11,Onion,86.9,35.80413448122259,210,29.850353876377277,3.90485975596089
2022-01-11,Apple,121.00000000000001,29.96773519539009,103,20.486319328629076,12.909445918143357
2022-01-11,Banana,72.60000000000001,49.78202043189364,257,39.07857154005175,18.29728780440897
2022-01-12,Tomato,162.8,39.90875095589656,136,38.566371251754504,8.563682966346287
2022-01-12,Potato,158.4,48.54479908357011,215,25.888977841391714,7.701954572038505
2022-01-12,Onion,127.60000000000001,16.7797098674437,124,27.893829336189444,16.884262814526227
2022-01-12,Apple,127.60000000000001,32.8024468035746,123,24.178374352307202,13.422870336481012
2022-01-12,Banana,193.60000000000002,30.73318609454947,229,26.451015284772012,16.97339589849349
2022-01-13,Tomato,204.60000000000002,38.09936335948437,275,31.056399538158153,5.93020287295597
2022-01-13,Potato,82.5,42.404535787167234,252,32.23027421731361,1.6318836080048071
2022-01-13,Onion,202.4,30.060651787487984,272,23.885479070240844,1.4188183399985532
2022-01-13,Apple,212.3,12.030741241575878,214,26.759903137030715,7.51165905279888
2022-01-13,Banana,126.50000000000001,27.53896492072348,290,20.71884547593484,9.311960362649202
2022-01-14,Tomato,123.20000000000002,49.273635532421245,249,31.816665211380215,0.6100049987809886
2022-01-14,Potato,130.9,22.130620586928913,287,26.53302483592082,16.557380075751773
2022-01-14,Onion,119.9,18.632841099873726,104,29.14530323227457,16.840461500239627
2022-01-14,Apple,181.50000000000003,26.454156202267143,198,32.74859802996413,14.52182667445323
2022-01-14,Banana,68.2,48.78147468456636,205,26.45912945882492,15.903723895374073
2022-01-15,Tomato,123.20000000000002,27.34082950322968,157,21.56912762684532,0.5070148683091502
2022-01-15,Potato,182.60000000000002,13.234918664687907,226,33.919484121873964,8.179058888285397
2022-01-15,Onion,117.7,46.60854910505922,133,24.795747183148066,1.877465801625835
2022-01-15,Apple,151.8,36.40789506870925,216,32.765411876867006,10.333925148531334
2022-01-15,Banana,129.8,34.46882984937409,294,24.95461979002315,7.119453573025232
2022-01-16,Tomato,148.5,10.575739545190235,168,21.8831397653712,6.228266187825884
2022-01-16,Potato,212.3,13.91336642604006,275,36.138259541015586,6.926086421788016
2022-01-16,Onion,165.0,25.94018937589494,109,38.98291463182772,17.733607745960953
2022-01-16,Apple,205.70000000000002,35.03439662856945,285,30.020797678305186,10.78754896800125
2022-01-16,Banana,58.300000000000004,34.63404657559656,179,32.84838556412631,0.5302262108324363
2022-01-17,Tomato,194.70000000000002,35.45614389784045,183,31.50948355751758,7.763398524130438
2022-01-17,Potato,190.3,15.140014129356407,288,30.9123357863187,18.8292961755305
2022-01-17,Onion,127.60000000000001,42.817073750850724,267,38.107012839121275,3.915822695785929
2022-01-17,Apple,209.00000000000003,18.583564788334964,145,20.364436513030995,1.888859215118568
2022-01-17,Banana,92.4,23.46216859554906,189,26.379512605875227,16.89750621938909
2022-01-18,Tomato,152.9,23.624982778569603,214,25.637095495468,2.363296552433125
2022-01-18,Potato,179.3,35.157713871195355,256,20.783726533512926,8.358920634311575
2022-01-18,Onion,205.70000000000002,26.938837692324743,251,36.136694785345284,19.810102840013467
2022-01-18,Apple,93.50000000000001,24.880723431711328,195,26.816070805060356,18.615146512071295
2022-01-18,Banana,94.60000000000001,19.543874391613606,282,35.017421355829946,15.090857481693646
2022-01-19,Tomato,169.4,25.109155447051794,212,30.105047448957144,16.529149322154833
2022-01-19,Potato,148.5,21.905406980372433,118,27.784033574683264,0.2167530296059672
2022-01-19,Onion,215.60000000000002,13.651467071445342,298,39.13601770252913,13.535398088486065
2022-01-19,Apple,111.10000000000001,32.93751552493144,210,21.665688223905192,1.8340829451696217
2022-01-19,Banana,207.9,23.14658181479664,222,24.254557900484578,18.923890857633804
2022-01-20,Tomato,212.3,41.584725711782156,208,38.61858211374585,19.484964170688205
